Kabupaten/Kota;AHH;HLS;RLS;Pengeluaran per Kapita Riil (Rp);IPM;Tahun
Kabupaten Probolinggo;66.47;12.06;5.68;10239;64.28;2017
Kabupaten Pasuruan;69.9;12.05;6.82;9556;66.69;2017
Kabupaten Sidoarjo;73.71;14.34;10.23;13710;78.7;2017
Kabupaten Mojokerto;72.1;12.52;8.15;12240;72.36;2017
Kabupaten Jombang;71.87;12.7;8.06;10560;70.88;2017
Kabupaten Nganjuk;71.11;12.83;7.38;11560;70.69;2017
Kabupaten Madiun;70.77;13.12;7.3;11012;70.27;2017
Kabupaten Magetan;72.16;13.72;7.94;11288;72.6;2017
Kabupaten Ngawi;71.74;12.67;6.66;10899;69.27;2017
Kabupaten Bojonegoro;70.83;12.34;6.71;9553;67.28;2017
Kabupaten Tuban;70.8;12.18;6.48;9540;66.77;2017
Kabupaten Lamongan;71.87;13.45;7.54;10664;71.11;2017
Kabupaten Gresik;72.36;13.7;8.95;12375;74.84;2017
Kabupaten Bangkalan;69.82;11.57;5.14;8192;62.3;2017
Kabupaten Sampang;67.67;11.38;4.12;8352;59.9;2017
Kabupaten Pamekasan;67.05;13.61;6.25;8311;64.93;2017
Kabupaten Sumenep;70.71;12.74;5.22;8316;64.28;2017
Kota Kediri;73.69;14.95;9.9;11550;77.13;2017
Kota Blitar;73.17;14.01;9.89;12910;77.1;2017
Kota Malang;72.77;15.39;10.15;15939;80.65;2017
Kota Probolinggo;69.86;13.55;8.48;11390;72.09;2017
Kota Pasuruan;71.02;13.58;9.09;12557;74.39;2017
Kota Mojokerto;72.86;13.81;9.98;12804;76.77;2017
Kota Madiun;72.48;14.2;11.1;15415;80.13;2017
Kota Surabaya;73.88;14.41;10.45;16726;81.07;2017
Kota Batu;72.25;14.03;8.46;12057;74.26;2017
Kabupaten Pacitan;71.52;12.61;7.19;8527;67.33;2018
Kabupaten Ponorogo;72.43;13.71;7.17;9426;69.91;2018
Kabupaten Trenggalek;73.35;12.12;7.27;9400;68.71;2018
Kabupaten Tulungagung;73.74;13.05;8.06;10455;71.99;2018
Kabupaten Blitar;73.16;12.44;7.27;10327;69.93;2018
Kabupaten Kediri;72.37;12.87;7.68;10853;71.07;2018
Kabupaten Malang;72.26;12.87;7.18;9844;69.4;2018
Kabupaten Lumajang;69.7;11.79;6.21;8931;64.83;2018
Kabupaten Jember;68.74;13.21;6.07;9090;65.96;2018
Kabupaten Banyuwangi;70.34;12.69;7.12;11828;70.06;2018
Kabupaten Bondowoso;66.27;12.95;5.62;10429;65.27;2018
Kabupaten Situbondo;68.73;13.01;6.11;9692;66.42;2018
Kabupaten Probolinggo;66.71;12.07;5.71;10700;64.85;2018
Kabupaten Pasuruan;70.01;12.3;6.83;9933;67.41;2018
Kabupaten Sidoarjo;73.82;14.75;10.24;14168;79.5;2018
Kabupaten Mojokerto;72.24;12.53;8.18;12454;72.64;2018
Kabupaten Jombang;72.04;12.99;8.21;10999;71.86;2018
Kabupaten Nganjuk;71.25;12.84;7.61;11768;71.23;2018
Kabupaten Madiun;70.97;13.13;7.57;11351;71.01;2018
Kabupaten Magetan;72.3;13.73;7.95;11539;72.91;2018
Kabupaten Ngawi;71.92;12.68;6.88;11187;69.91;2018
Kabupaten Bojonegoro;71.07;12.35;6.77;9926;67.85;2018
Kabupaten Tuban;71.01;12.19;6.52;10048;67.43;2018
Kabupaten Lamongan;72.04;13.46;7.83;11108;71.97;2018
Kabupaten Gresik;72.46;13.71;8.96;12845;75.28;2018
Kabupaten Bangkalan;69.94;11.58;5.33;8393;62.87;2018
Kabupaten Sampang;67.79;11.76;4.36;8569;61;2018
Kabupaten Pamekasan;67.22;13.62;6.35;8536;65.41;2018
Kabupaten Sumenep;70.94;13.07;5.23;8722;65.25;2018
Kota Kediri;73.8;14.96;9.91;11976;77.58;2018
Kota Blitar;73.36;14.02;9.9;13391;77.58;2018
Kota Malang;72.93;15.4;10.16;16158;80.89;2018
Kota Probolinggo;70;13.56;8.49;11796;72.53;2018
Kota Pasuruan;71.18;13.59;9.1;12931;74.78;2018
Kota Mojokerto;73.01;13.82;9.99;13155;77.14;2018
Kota Madiun;72.59;14.21;11.11;15616;80.33;2018
Kota Surabaya;73.98;14.78;10.46;17157;81.74;2018
Kota Batu;72.37;14.04;8.77;12466;75.04;2018
Kabupaten Pacitan;71.77;12.62;7.28;9033;68.16;2019
Kabupaten Ponorogo;72.65;13.72;7.21;9883;70.56;2019
Kabupaten Trenggalek;73.59;12.25;7.28;9865;69.46;2019
Kabupaten Tulungagung;73.95;13.15;8.07;10891;72.62;2019
Kabupaten Blitar;73.39;12.45;7.29;10861;70.57;2019
Kabupaten Kediri;72.54;12.88;8.01;11146;71.85;2019
Kabupaten Malang;72.45;13.17;7.27;10270;70.35;2019
Kabupaten Lumajang;69.94;11.8;6.22;9274;65.33;2019
Kabupaten Jember;68.99;13.22;6.18;9525;66.69;2019
Kabupaten Banyuwangi;70.54;12.78;7.13;12264;70.6;2019
Kabupaten Bondowoso;66.55;13.27;5.71;10665;66.09;2019
Kabupaten Situbondo;68.97;13.14;6.12;10097;67.09;2019
Kabupaten Probolinggo;67;12.34;5.77;10972;65.6;2019
Kabupaten Pasuruan;70.17;12.31;7.11;10381;68.29;2019
Kabupaten Sidoarjo;73.98;14.91;10.25;14609;80.05;2019
Kabupaten Mojokerto;72.43;12.61;8.49;12860;73.53;2019
Kabupaten Jombang;72.27;13;8.53;11533;72.85;2019
Kabupaten Nganjuk;71.44;12.85;7.63;12200;71.71;2019
Kabupaten Madiun;71.22;13.14;7.8;11650;71.69;2019
Kabupaten Magetan;72.49;14;7.96;11779;73.49;2019
Kabupaten Ngawi;72.16;12.69;6.98;11468;70.41;2019
Kabupaten Bojonegoro;71.36;12.36;7.09;10265;68.75;2019
Kabupaten Tuban;71.26;12.2;6.81;10499;68.37;2019
Kabupaten Lamongan;72.27;13.47;7.89;11572;72.57;2019
Kabupaten Gresik;72.61;13.72;9.29;13295;76.1;2019
Kabupaten Bangkalan;70.11;11.59;5.66;8718;63.79;2019
Kabupaten Sampang;67.96;12.08;4.55;8760;61.94;2019
Kabupaten Pamekasan;67.45;13.63;6.4;8834;65.94;2019
Kabupaten Sumenep;71.22;13.19;5.46;9082;66.22;2019
Kota Kediri;73.96;14.97;9.92;12440;78.08;2019
Kota Blitar;73.6;14.31;10.1;13851;78.56;2019
Kota Malang;73.15;15.41;10.17;16666;81.32;2019
Kota Probolinggo;70.19;13.57;8.69;12280;73.27;2019
Kota Pasuruan;71.4;13.6;9.11;13393;75.25;2019
Kota Mojokerto;73.21;13.83;10.24;13710;77.96;2019
Kota Madiun;72.75;14.39;11.13;16040;80.88;2019
Kota Surabaya;74.13;14.79;10.47;17854;82.22;2019
Kota Batu;72.54;14.12;9.06;12870;75.88;2019
Kabupaten Pacitan;74.01;12.64;7.6;8796;69.28;2020
Kabupaten Ponorogo;74.49;13.73;7.54;9670;71.57;2020
Kabupaten Trenggalek;74.58;12.35;7.55;9630;70.1;2020
Kabupaten Tulungagung;74.41;13.31;8.33;10705;73.15;2020
Kabupaten Blitar;74.54;12.46;7.39;10654;71.02;2020
Kabupaten Kediri;74.27;13.15;8.02;11000;72.8;2020
Kabupaten Malang;74.56;13.18;7.42;10028;71.24;2020
Kabupaten Lumajang;73.83;11.81;6.4;9088;67.04;2020
Kabupaten Jember;73.44;13.42;6.48;9294;69.01;2020
Kabupaten Banyuwangi;73.35;12.8;7.16;12140;71.85;2020
Kabupaten Bondowoso;72.61;13.28;5.93;10610;69.1;2020
Kabupaten Situbondo;72.64;13.15;6.46;9857;68.94;2020
Kabupaten Probolinggo;73.22;12.35;6.11;10859;68.77;2020
Kabupaten Pasuruan;73.83;12.41;7.4;10164;70.2;2020
Kabupaten Sidoarjo;74.78;14.93;10.5;14458;80.65;2020
Kabupaten Mojokerto;74.16;12.88;8.51;12779;74.58;2020
Kabupaten Jombang;73.85;13.27;8.54;11261;73.63;2020
Kabupaten Nganjuk;73.85;12.86;7.64;12130;72.78;2020
Kabupaten Madiun;74.01;13.16;7.81;11574;72.94;2020
Kabupaten Magetan;74.61;14.03;8.24;11776;74.85;2020
Kabupaten Ngawi;74.43;12.7;7.06;11418;71.49;2020
Kabupaten Bojonegoro;74.14;12.39;7.33;10121;70.18;2020
Kabupaten Tuban;74.19;12.21;6.95;10238;69.6;2020
Kabupaten Lamongan;74.28;13.48;7.92;11456;73.44;2020
Kabupaten Gresik;73.66;13.73;9.3;13246;76.59;2020
Kabupaten Bangkalan;72.71;11.6;5.95;8610;65.17;2020
Kabupaten Sampang;72.91;12.37;4.85;8739;64.75;2020
Kabupaten Pamekasan;72.93;13.64;6.69;8739;68.65;2020
Kabupaten Sumenep;73.11;13.2;5.71;8888;67.15;2020
Kota Kediri;75.16;15.26;9.93;12239;78.78;2020
Kota Blitar;74.39;14.32;10.11;13733;78.88;2020
Kota Malang;74.74;15.51;10.18;16593;82.19;2020
Kota Probolinggo;73.52;13.59;8.7;12180;74.81;2020
Kota Pasuruan;74.06;13.62;9.12;13281;76.47;2020
Kota Mojokerto;75.22;14;10.25;13499;78.95;2020
Kota Madiun;74.82;14.4;11.14;16018;81.93;2020
Kota Surabaya;75.24;14.8;10.49;17755;82.76;2020
Kota Batu;74.56;14.13;9.07;12824;76.82;2020
Kabupaten Pacitan;74.09;12.65;7.61;8887;69.45;2021
Kabupaten Ponorogo;74.55;13.74;7.55;9851;71.81;2021
Kabupaten Trenggalek;74.65;12.47;7.56;9743;70.4;2021
Kabupaten Tulungagung;74.47;13.32;8.34;10807;73.29;2021
Kabupaten Blitar;74.6;12.63;7.5;10757;71.48;2021
Kabupaten Kediri;74.3;13.44;8.08;11127;73.31;2021
Kabupaten Malang;74.61;13.24;7.43;10163;71.48;2021
Kabupaten Lumajang;73.9;11.88;6.67;9203;67.65;2021
Kabupaten Jember;73.53;13.43;6.49;9410;69.2;2021
Kabupaten Banyuwangi;73.41;13.1;7.42;12217;72.62;2021
Kabupaten Bondowoso;72.71;13.29;5.94;10690;69.24;2021
Kabupaten Situbondo;72.72;13.16;6.62;9996;69.34;2021
Kabupaten Probolinggo;73.32;12.36;6.12;10969;68.94;2021
Kabupaten Pasuruan;73.85;12.58;7.41;10297;70.54;2021
Kabupaten Sidoarjo;74.8;14.94;10.72;14578;81.01;2021
Kabupaten Mojokerto;74.21;12.95;8.64;12844;74.9;2021
Kabupaten Jombang;73.91;13.57;8.55;11394;74.1;2021
Kabupaten Nganjuk;73.9;12.87;7.78;12172;73.03;2021
Kabupaten Madiun;74.09;13.17;7.82;11658;73.07;2021
Kabupaten Magetan;74.66;14.04;8.36;11833;75.08;2021
Kabupaten Ngawi;74.5;12.83;7.26;11459;71.97;2021
Kabupaten Bojonegoro;74.23;12.68;7.38;10221;70.7;2021
Kabupaten Tuban;74.27;12.22;7.18;10380;70.1;2021
Kabupaten Lamongan;74.34;13.77;8.04;11510;73.97;2021
Kabupaten Gresik;73.67;13.77;9.56;13280;76.98;2021
Kabupaten Bangkalan;72.75;11.73;5.96;8673;65.42;2021
Kabupaten Sampang;72.95;12.38;4.86;8790;64.86;2021
Kabupaten Pamekasan;73;13.65;6.7;8804;68.78;2021
Kabupaten Sumenep;73.19;13.33;5.92;9000;67.74;2021
Kota Kediri;75.18;15.27;10.15;12359;79.15;2021
Kota Blitar;74.46;14.33;10.35;13816;79.27;2021
Kota Malang;74.8;15.75;10.41;16663;82.77;2021
Kota Probolinggo;73.57;13.6;8.95;12245;75.2;2021
Kota Pasuruan;74.12;13.63;9.33;13354;76.83;2021
Kota Mojokerto;75.27;14.01;10.47;13610;79.34;2021
Kota Madiun;74.84;14.41;11.37;16095;82.27;2021
Kota Surabaya;75.43;14.81;10.5;17862;82.94;2021
Kota Batu;74.59;14.16;9.31;12887;77.21;2021
Kabupaten Pacitan;74.35;12.66;7.82;9184;70.19;2022
Kabupaten Ponorogo;74.81;13.76;7.77;10199;72.59;2022
Kabupaten Trenggalek;74.91;12.5;7.89;10042;71.28;2022
Kabupaten Tulungagung;74.73;13.33;8.65;11162;74.14;2022
Kabupaten Blitar;74.86;12.64;7.82;11001;72.25;2022
Kabupaten Kediri;74.58;13.61;8.23;11565;74.2;2022
Kabupaten Malang;74.88;13.38;7.68;10326;72.23;2022
Kabupaten Lumajang;74.17;12.02;6.87;9466;68.48;2022
Kabupaten Jember;73.79;13.44;6.5;9840;69.8;2022
Kabupaten Banyuwangi;73.67;13.11;7.66;12320;73.15;2022
Kabupaten Bondowoso;72.98;13.31;6.22;10851;69.91;2022
Kabupaten Situbondo;72.99;13.18;6.63;10263;69.76;2022
Kabupaten Probolinggo;73.58;12.58;6.13;11254;69.56;2022
Kabupaten Pasuruan;74.15;12.76;7.42;10726;71.29;2022
Kabupaten Sidoarjo;75.06;14.95;10.77;14808;81.37;2022
Kabupaten Mojokerto;74.48;12.96;8.97;13051;75.61;2022
Kabupaten Jombang;74.17;13.58;8.76;11579;74.66;2022
Kabupaten Nganjuk;74.17;13.07;8.12;12349;73.95;2022
Kabupaten Madiun;74.34;13.18;7.94;11848;73.51;2022
Kabupaten Magetan;74.92;14.05;8.66;12031;75.76;2022
Kabupaten Ngawi;74.76;12.84;7.59;11563;72.62;2022
Kabupaten Bojonegoro;74.48;12.84;7.43;10323;71.15;2022
Kabupaten Tuban;74.53;12.24;7.37;10703;70.79;2022
Kabupaten Lamongan;74.6;14.01;8.33;11648;74.83;2022
Kabupaten Gresik;73.96;13.96;9.75;13384;77.62;2022
Kabupaten Bangkalan;73.05;11.91;5.97;8971;66.11;2022
Kabupaten Sampang;73.24;12.39;5.06;8944;65.44;2022
Kabupaten Pamekasan;73.28;13.67;6.88;8967;69.35;2022
Kabupaten Sumenep;73.43;13.51;5.93;9388;68.49;2022
Kota Kediri;75.44;15.44;10.45;12762;80.12;2022
Kota Blitar;74.71;14.56;10.65;14058;80.15;2022
Kota Malang;75.06;15.76;10.69;16897;83.38;2022
Kota Probolinggo;73.84;13.67;9.29;12571;76.08;2022
Kota Pasuruan;74.38;13.64;9.67;13803;77.71;2022
Kota Mojokerto;75.53;14.02;10.8;14054;80.19;2022
Kota Madiun;75.11;14.43;11.67;16503;83.02;2022
Kota Surabaya;75.62;14.83;10.51;18345;83.32;2022
Kota Batu;74.86;14.4;9.63;13094;78.13;2022
Kabupaten Pacitan;74.58;12.68;7.88;9681;70.94;2023
Kabupaten Ponorogo;75.07;13.77;7.78;10658;73.18;2023
Kabupaten Trenggalek;75.16;12.62;7.9;10465;71.96;2023
Kabupaten Tulungagung;74.99;13.34;8.66;11565;74.65;2023
Kabupaten Blitar;75.12;12.65;7.83;11499;72.84;2023
Kabupaten Kediri;74.85;13.62;8.24;11952;74.68;2023
Kabupaten Malang;75.14;13.48;7.75;10791;73;2023
Kabupaten Lumajang;74.41;12.16;7.14;9720;69.37;2023
Kabupaten Jember;74.02;13.49;6.52;10277;70.42;2023
Kabupaten Banyuwangi;73.93;13.12;7.76;12820;73.79;2023
Kabupaten Bondowoso;73.19;13.32;6.36;11255;70.56;2023
Kabupaten Situbondo;73.22;13.19;6.9;10702;70.65;2023
Kabupaten Probolinggo;73.8;12.63;6.29;11756;70.36;2023
Kabupaten Pasuruan;74.41;12.77;7.44;11239;71.91;2023
Kabupaten Sidoarjo;75.36;14.97;10.78;15311;81.88;2023
Kabupaten Mojokerto;74.74;12.97;9.11;13467;76.23;2023
Kabupaten Jombang;74.43;13.59;8.77;11999;75.16;2023
Kabupaten Nganjuk;74.43;13.17;8.24;12821;74.7;2023
Kabupaten Madiun;74.59;13.23;7.95;12259;74.02;2023
Kabupaten Magetan;75.19;14.07;8.67;12495;76.3;2023
Kabupaten Ngawi;75.01;12.85;7.78;11897;73.28;2023
Kabupaten Bojonegoro;74.72;12.92;7.45;10776;71.8;2023
Kabupaten Tuban;74.77;12.27;7.4;11174;71.4;2023
Kabupaten Lamongan;74.86;14.02;8.34;12019;75.29;2023
Kabupaten Gresik;74.24;13.97;10.01;13870;78.44;2023
Kabupaten Bangkalan;73.29;11.97;5.99;9438;66.82;2023
Kabupaten Sampang;73.49;12.54;5.07;9363;66.19;2023
Kabupaten Pamekasan;73.51;13.68;7.15;9420;70.32;2023
Kabupaten Sumenep;73.69;13.58;5.94;9807;69.13;2023
Kota Kediri;75.74;15.45;10.69;13276;80.97;2023
Kota Blitar;74.97;14.57;10.78;14548;80.78;2023
Kota Malang;75.32;15.77;10.94;17222;84;2023
Kota Probolinggo;74.1;13.73;9.56;12999;76.93;2023
Kota Pasuruan;74.64;13.66;9.78;14250;78.3;2023
Kota Mojokerto;75.8;14.04;11.05;14422;80.9;2023
Kota Madiun;75.4;14.44;11.82;17115;83.71;2023
Kota Surabaya;75.82;14.85;10.7;18977;83.99;2023
Kota Batu;75.14;14.56;9.85;13603;79.07;2023
Kabupaten Pacitan;74.74;12.69;7.9;10099;71.49;2024
Kabupaten Ponorogo;75.28;13.78;7.8;11065;73.7;2024
Kabupaten Trenggalek;75.35;12.63;7.92;10872;72.47;2024
Kabupaten Tulungagung;75.2;13.36;8.68;11966;75.13;2024
Kabupaten Blitar;75.32;12.67;7.87;12020;73.44;2024
Kabupaten Kediri;75.07;13.63;8.26;12388;75.18;2024
Kabupaten Malang;75.34;13.49;7.8;11190;73.53;2024
Kabupaten Lumajang;74.57;12.41;7.27;10124;70.31;2024
Kabupaten Jember;74.17;13.5;6.54;10700;70.93;2024
Kabupaten Banyuwangi;74.13;13.14;7.78;13320;74.3;2024
Kabupaten Bondowoso;73.31;13.33;6.53;11689;71.22;2024
Kabupaten Situbondo;73.36;13.2;6.93;11216;71.22;2024
Kabupaten Probolinggo;73.93;12.64;6.31;12258;70.85;2024
Kabupaten Pasuruan;74.61;12.78;7.46;11617;72.36;2024
Kabupaten Sidoarjo;75.63;15.22;10.91;15710;82.67;2024
Kabupaten Mojokerto;74.95;12.99;9.13;13903;76.69;2024
Kabupaten Jombang;74.64;13.61;8.78;12454;75.67;2024
Kabupaten Nganjuk;74.64;13.18;8.25;13376;75.24;2024
Kabupaten Madiun;74.79;13.27;8.2;12668;74.81;2024
Kabupaten Magetan;75.42;14.08;8.69;12915;76.77;2024
Kabupaten Ngawi;75.21;12.89;7.84;12414;73.91;2024
Kabupaten Bojonegoro;74.91;13.18;7.59;11204;72.75;2024
Kabupaten Tuban;74.95;12.54;7.53;11579;72.31;2024
Kabupaten Lamongan;75.07;14.03;8.48;12419;75.9;2024
Kabupaten Gresik;74.48;13.98;10.03;14356;78.93;2024
Kabupaten Bangkalan;73.43;11.98;6.01;9841;67.33;2024
Kabupaten Sampang;73.66;12.55;5.08;9782;66.72;2024
Kabupaten Pamekasan;73.66;13.69;7.17;9811;70.85;2024
Kabupaten Sumenep;73.86;13.59;6.1;10156;69.78;2024
Kota Kediri;75.94;15.71;10.92;13670;81.88;2024
Kota Blitar;75.2;14.81;10.82;14933;81.44;2024
Kota Malang;75.54;15.79;11.14;17791;84.68;2024
Kota Probolinggo;74.31;13.98;9.72;13405;77.79;2024
Kota Pasuruan;74.86;13.67;9.94;14664;78.9;2024
Kota Mojokerto;75.99;14.13;11.38;14842;81.76;2024
Kota Madiun;75.67;14.54;12.11;17518;84.51;2024
Kota Surabaya;76.02;14.87;10.89;19666;84.69;2024
Kota Batu;75.36;14.58;9.87;14253;79.69;2024
